;;31.01.2021;;06.02.2021;;13.02.2021;;14.02.2021 - 20.02.2021;;21.02.2021;;22.02.2021 - 26.02.2021;;27.02.2021;;28.02.2021 - 05.03.2021;;06.03.2021;;07.03.2021 - 12.03.2021;;13.02.2021 - 12.03.2021;;Info;13.03.2021;13.03.2021;14.03.2021 - 20.03.2021;14.03.2021 - 20.03.2021;21.03.2021;21.03.2021;22.03.2021 - 27.03.2021;22.03.2021 - 27.03.2021;28.03.2021;28.03.2021;29.03.2021 - 03.04.2021;29.03.2021 - 03.04.2021;04.04.2021;04.04.2021;05.04.2021 - 10.04.2021;05.04.2021 - 10.04.2021;13.03.2021 - 10.04.2021;;Info;11.04.2021;11.04.2021;12.04.2021 - 16.04.2021;12.04.2021 - 16.04.2021;17.04.2021;17.04.2021;18.04.2021 - 24.04.2021;18.04.2021 - 24.04.2021;25.04.2021;25.04.2021;26.04.2021 - 01.05.2021;26.04.2021 - 01.05.2021;02.05.2021;02.05.2021;03.05.2021 - 08.05.2021;03.05.2021 - 08.05.2021;11.04.2021 - 08.05.2021;;Info;09.05.2021;09.05.2021;10.05.2021 - 15.05.2021;10.05.2021 - 15.05.2021;16.05.2021;16.05.2021;17.05.2021 - 22.05.2021;17.05.2021 - 22.05.2021;23.05.2021;23.05.2021;24.05.2021 - 29.05.2021;;30.05.2021;;31.05.2021 - 05.06.2021;;09.05.2021 - 05.06.2021;;Info;06.06.2021;;07.06.2021 - 12.06.2021;;13.06.2021;;14.06.2021 - 19.06.2021;;20.06.2021;;21.06.2021 - 26.06.2021;;27.06.2021;;28.06.2021 - 03.07.2021;;06.06.2021 - 03.07.2021;;Info;04.07.2021;;05.07.2021 - 10.07.2021;;11.07.2021;;12.07.2021 - 17.07.2021;;18.07.2021;;19.07.2021 - 23.07.2021;;24.07.2021;;25.07.2021 - 31.07.2021;;04.07.2021 - 31.07.2021;;Info;01.08.2021;;02.08.2021 - 07.08.2021;;08.08.2021;;09.08.2021 - 13.08.2021;;14.08.2021;;15.08.2021 - 20.08.2021;;21.08.2021;;22.08.2021 - 28.08.2021;;01.08.2021 - 28.08.2021;;Info;29.08.2021;;30.08.2021 - 04.09.2021;;05.09.2021;;06.09.2021 - 11.09.2021;;12.09.2021;;13.09.2021 - 17.09.2021;;18.09.2021;;19.09.2021 - 25.09.2021;;29.08.2021 - 25.09.2021;;Info;26.09.2021;;27.09.2021 - 02.10.2021;;03.10.2021;;04.10.2021 - 09.10.2021;;10.10.2021;;11.10.2021 - 15.10.2021;;16.10.2021;;17.10.2021 - 23.10.2021;;26.09.2021 - 23.10.2021;;Info;24.10.2021;;25.10.2021 - 29.10.2021;;30.10.2021;;31.10.2021 - 04.11.2021;;05.11.2021;;06.11.2021 - 13.11.2021;;14.11.2021;;15.11.2021 - 19.11.2021;;24.10.2021 - 19.11.2021;;Info;20.11.2021;;21.11.2021 - 27.11.2021;;28.11.2021;;29.11.2021 - 03.12.2021;;04.12.2021;;05.12.2021 - 11.12.2021;;12.12.2021;;13.12.2021 - 17.12.2021;;20.11.2021 - 17.12.2021;;Info;18.12.2021;;19.12.2021 - 25.12.2021;;26.12.2021;;27.12.2021 - 02.01.2022;;03.01.2022;;04.01.2022 - 08.01.2022;;09.01.2022;;10.01.2022 - 14.01.2022;;18.12.2021 - 14.01.2022;;Info;15.01.2022;;16.01.2022 - 22.01.2022;;23.01.2022;;24.01.2022 - 28.01.2022;;29.01.2022;;30.01.2022 - 04.02.2022;;05.02.2022;;06.02.2022 - 11.02.2022;;15.01.2022 - 11.02.2022;;Info;12.02.2022;;13.02.2022 - 18.02.2022;;19.02.2022;;20.02.2022 - 25.02.2022;;26.02.2022;;27.02.2022 - 06.03.2022;;07.03.2022;;08.03.2022 - 12.03.2022;;12.02.2022 - 12.03.2022;;Info;13.03.2022;;14.03.2022 - 19.03.2022;;20.03.2022;;21.03.2022 - 26.03.2022;;27.03.2022;;28.03.2022 - 01.04.2022;;02.04.2022;;03.04.2022 - 09.04.2022;;13.03.2022 - 09.04.2022;;Info;10.04.2022;;11.04.2022 - 16.04.2022;;17.04.2022;;18.04.2022 - 23.04.2022;;24.04.2022;;25.04.2022 - 01.05.2022;;02.05.2022;;03.05.2022 - 08.05.2022;;10.04.2022 - 08.05.2022;;Info;09.05.2022;;10.05.2022 - 14.05.2022;;15.05.2022;;16.05.2022 - 21.05.2022;;22.05.2022;;23.05.2022 - 27.05.2022;;28.05.2022;;29.05.2022 - 03.06.2022;;09.05.2022 - 03.06.2022;;Info;04.06.2022;;05.06.2022 - 12.06.2022;;13.06.2022;;14.06.2022 - 17.06.2022;;18.06.2022;;19.06.2022 - 25.06.2022;;26.06.2022;;27.06.2022 - 01.07.2022;;09.05.2022 - 03.06.2022;;Info;04.06.2021 - 01.07.2022;;Info
Товары для дома;Ватные диски, палочки;35,99;1;35,99;1;35,99;1;;;;;;;53,49;2;;;35,99;1;;;125,47;4;Макс.;;;;;;;;;;;;;35,99;1;;;35,99;1;Макс.;35,99;1;;;36,98;1;;;;;;;36,98;1;;;109,95;3;Макс.;;;;;;;;;;;;;71,98;2;;;71,98;2;Макс.;;;;;47,98;2;;;;;;;47,98;2;;;95,96;4;Макс.;35,99;1;;;;;;;35,99;1;;;;;;;71,98;2;Макс.;;;;;;;;;;;;;;;;;0,00;0;Макс.;;;;;30,17;1;;;;;;;25,99;1;;;56,16;2;Макс.;25,99;1;;;51,98;2;;;;;;;;;;;77,97;3;Макс.;;;;;36,99;1;;;;;;;;;;;36,99;1;Макс.;73,98;2;;;36,99;1;;;;;;;;;;;110,97;3;Макс.;34,64;1;;;;;;;;;;;36,99;1;;;71,63;2;Макс.;;;;;36,99;1;;;36,99;1;;;;;;;73,98;2,000;Макс.;86,97;3;;;;;;;;;;;48,09;1;;;135,06;4,000;Макс.;138,12;3;;;;;;;79,98;2;;;92,98;2;;;311,08;7,000;Макс.;49,99;1;;;;;;;;;;;79,97;2;;;129,96;3,000;Макс.;36,99;1;;;36,20;1;;;;;;;49,99;1;;;123,18;3,000;Макс.;;;;;;;;;51,98;2;;;;;;;51,98;2,000;Макс.;1 690,29;48,000;Макс.
;Влажные салфетки;59,98;2;;;29,99;1;;;;;;;82,98;2;;;73,26;1;;;186,23;4;Прокладки;52,99;1;;;;;;;;;;;29,99;1;;;82,98;2;Туалетная бумага, полотенца;82,98;2;;;;;;;52,99;1;;;;;;;135,97;3;Прокладки;40,98;2;;;;;;;;;;;161,45;5;;;202,43;7;Прокладки;;;;;;;;;205,98;2;;;;;45,99;1;251,97;3;Мыло;81,99;2;;;;;;;93,97;3;;;;;;;175,96;5;Прокладки;181,96;4;;;49,81;1;;;52,99;1;;;;;;;284,76;6;Туалетная бумага, полотенца;44,89;;;;174,51;4;;;;;;;52,99;1;;;272,39;5;Туалетная бумага, полотенца;;;;;;;;;128,51;1;;;;;;;128,51;1;Туалетная бумага, полотенца;;;;;236,96;4;;;;;;;89,99;1;;;326,95;5;Туалетная бумага, полотенца;129,99;1;;;;;;;46,50;1;169,90;1;;;;;346,39;3;Прокладки;;;;;174,65;2;;;43,46;1;;;26,99;1;;;245,10;4;Туалетная бумага, полотенца;52,99;1;;;26,99;1;;;;;;;;;;;79,98;2,000;Мыло;79,98;2;;;;;;;79,98;2;;;52,99;1;;;212,95;5,000;Прокладки;;;;;183,97;3;;;52,99;1;;;;;;;236,96;4,000;Прокладки;52,99;1;;;79,98;2;;;;;;;26,99;1;;;159,96;4,000;Прокладки;33,99;1;;;;;;;;;;;26,99;1;;;60,98;2,000;Туалетная бумага, полотенца;33,99;1;;;;;;;;;;;;;;;33,99;1,000;Прокладки;3 424,46;66,000;Прокладки
;Гигиенические средства;;;;;317,99;1;;;;;;;;;;;;;;;317,99;1;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;249,95;1;;;;;;;;;;;;;;;249,95;1;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;269,00;1;;;269,00;1,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;836,94;3,000;
;Губки, салфетки для посуды;69,49;1;;;;;;;;;;;;;;;;;;;0,00;0;;;;;;105,48;2;;;;;;;;;;;105,48;2;;;;;;;;;;;;;;49,98;2;;;49,98;2;;;;;;;;;;145,47;3;;;36,99;1;;;182,46;4;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;74,49;1;;;;;;;;;;;;;;;74,49;1;;;;;;94,19;2;;;;;;;;;;;94,19;2;;41,99;1;;;;;;;;;;;;;;;41,99;1;;;;;;116,98;2;;;;;;;;;;;116,98;2;;;;;;40,99;1;;;66,25;1;;;55,99;1;;;163,23;3;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;122,98;2;;;;;;;122,98;2,000;;;;;;;;;;43,49;1;;;73,48;2;;;116,97;3,000;;132,89;2;;;;;;;;;;;123,99;1;;;256,88;3,000;;;;;;;;;;93,99;1;;;;;;;93,99;1,000;;;;49,90;1;;;;;;;;;;;;;49,90;1,000;;1 469,52;27,000;
;Дезодорант;;;;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;207,62;1;;;;;;;;;;;207,62;1;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;207,62;1,000;
;Зубная нить;256,99;1;;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;280,99;1;;;280,99;1;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;280,99;1;;;;;;;;;;;280,99;1;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;280,99;1;;;;;;;;;;;;;;;280,99;1;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;246,59;1;;;;;;;246,59;1;;;;;;;;;;;;;;280,99;1;;;280,99;1;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;164,90;1;;;;;;;;;;;164,90;1,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;1 535,45;6,000;
;Зубная паста;;;;;;;;;;;;;;;;;;;;;0,00;0;;81,99;1;;;;;;;;;;;;;;;81,99;1;;;;;;;;;;;;;;;;;;0,00;0;;289,98;2;;;;;;;;;;;;;;;289,98;2;;;;;;;;;;;;;;;;;;0,00;0;;;;;;289,98;2;;;;;;;;;;;289,98;2;;;;;;86,46;1;;;229,99;1;;;;;;;316,45;2;;;;;;97,72;2;;;;;;;271,99;1;;;369,71;3;;;;;;83,99;1;;;;;;;139,43;1;;;223,42;2;;169,90;1;;;;;;;;;;;;;;;169,90;1;;;;;;;;;;164,97;2;;;;;;;164,97;2;;;;;;;;;;;;;;463,79;3;;;463,79;3;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;182,98;2;;;;;;;182,98;2,000;;;;;;207,98;2;;;;;;;;;;;207,98;2,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;203,99;1;119,99;1;;;323,98;2,000;;;;;;353,98;2;;;;;;;;;;;353,98;2,000;;3 439,11;26,000;
;Зубная щетка;;;;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;116,99;1;;;116,99;1;;;;;;;;;;;;;;;;;;0,00;0;;99,98;2;;;;;;;;;;;;;;;99,98;2;;;;;;;;;;;;;;69,99;1;;;69,99;1;;;;;;;;;;;;;;;;;;0,00;0;;;;;;43,22;1;;;;;;;;;;;43,22;1;;;;;;59,90;1;;;;;;;;;;;59,90;1;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;195,68;3;;;;;;;195,68;3;;;;;;;;;;;;;;;;;;0,00;0;;;;;;51,80;2;;;;;;;;;;;51,80;2,000;;29,99;1;;;;;;;;;;;;;;;29,99;1,000;;;;;;;;;;;;;;;;;;0,00;0,000;;119,98;2;;;;;;;;;;;;;;;119,98;2,000;;207,00;1;;;;;;;;;;;;;;;207,00;1,000;;;;;;;;;;;;;;47,99;1;;;47,99;1,000;;1 042,52;16,000;
;Кондиционер;;;;;;;;;;;;;;;;;;;;;0,00;0;;199,90;1,820;;;;;;;;;;;;;;;199,90;1,820;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;199,90;1,820;;;199,90;1,820;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;174,49;0,910;;;;;;;174,49;0,910;;;;;;;;;;;;;;122,90;0,910;;;122,90;0,910;;;;;;;;;;;;;;132,07;0,600;;;132,07;0,600;;;;;;;;;;;;;;;;;;0,00;0,000;;;;229,99;1,000;;;;;;;;;;;;;229,99;1,000;;;;;;;;;;;;;;79,00;0,910;;;79,00;0,910;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;129,90;0,870;;;;;;;129,90;0,870;;;;;;;;;;129,90;0,870;;;;;;;129,90;0,870;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;189,90;1,000;;;189,90;1,000;;;;;;;;;;;;;;;;;;0,00;0,000;;1 587,95;10,710;
;Кремы, лосьоны;135,99;2;94,99;1;;;;;224,98;2;;;94,99;1;;;;;;;319,97;3;;;;;;;;143,80;2;96,99;1;;;;;;;240,79;3;;;;;;;;;;94,99;1;;;335,96;4;;;430,95;5;;;;;;;;;;;;;;94,99;1;;;94,99;1;;;;;;144,98;2;;;;;;;145,98;2;;;290,96;4;;;;;;;;;;94,99;1;;;;;;;94,99;1;;165,48;2;;;;;;;;;;;255,87;3;;;421,35;5;;;;;;161,47;2;;;;;;;;;;;161,47;2;;106,99;1;;;;;;;;;;;99,52;1;;;206,51;2;;60,99;1;;;;;;;309,88;3;;;;;;;370,87;4;;106,99;1;;;106,99;1;;;71,07;1;;;;;;;285,05;3;;100,20;1;;;;;;;87,76;1;;;;;;;187,96;2;;;;;;106,99;1;;;;;;;;;;;106,99;1,000;;196,89;2;;;106,99;1;;;48,99;1;;;77,99;1;;;430,86;5,000;;;;;;48,99;1;;;40,99;1;;;;;;;89,98;2,000;;;;;;;;;;;;;;;;;;0,00;0,000;;72,99;1;;;;;;;;;87,98;2;282,48;2;;;443,45;5,000;;;;;;48,99;1;;;48,99;1;;;;;;;97,98;2,000;;4 275,12;50,000;
;Средство для волос;;;;;;;;;;;;;166,99;1;;;;;;;166,99;1;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;455,75;2;;;455,75;2;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;622,74;3,000;
;Мешки для мусора;;;;;63,99;1;;;;;;;;;;;63,99;1;;;127,98;2;;;;;;;;;;;;;;;;;;0,00;0;;54,49;1;;;51,99;1;;;50,99;1;;;43,90;1;;;201,37;4;;63,99;1;;;;;;;;;;;;;;;63,99;1;;63,99;1;;;;;;;;;;;;;;;63,99;1;;47,99;1;32,00;1;;;;;;;;;;;;;79,99;2;;47,99;1;;;19,73;1;;;49,99;1;;;99,99;1;;;217,70;4;;;;;;81,55;1;;;;;;;52,99;1;;;134,54;2;;;;55,00;1;;;;;;;;;41,85;1;;;96,85;2;;;;59,90;1;;;;;;;;;;;;;59,90;1;;55,99;1;;;;;;;49,13;1;;;58,99;1;;;164,11;3;;;;;;;;;;45,92;1;;;;;;;45,92;1;;;;;;;;125,80;2;;;;;;;;;125,80;2,000;;;;53,00;1;;;;;;;;;33,99;1;;;86,99;2,000;;;;122,90;2;;;;;;;;;31,98;2;;;154,88;4,000;;22,99;1;;;14,99;1;;;;;;;;;;;37,98;2,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;51,98;2;;;;;;;;;;;51,98;2,000;;1 713,97;35,000;
;Мыло;40,49;1;80,98;2;132,78;4;;;45,49;1;;;87,80;2;;;;;;;266,07;7;;;;;;90,98;2;;;;;;;139,98;3;;;230,96;5;;90,98;2;;;43,90;1;;;87,80;2;;;90,98;2;;;313,66;7;;225,89;3;;;;;;;43,90;1;;;143,70;4;;;413,49;8;;93,89;2;;;87,80;2;;;79,80;2;;;159,69;4;35,00;1;456,18;11;;39,90;1;;;90,98;2;;;140,97;3;;;45,49;1;;;317,34;7;;79,80;2;;;39,38;1;;;104,98;2;;;;;;;224,16;5;;;;;;149,07;4;;;;;;;155,69;4;;;304,76;8;;71,80;2;;;71,80;2;;;;;;;253,90;3;;;397,50;7;;100,98;2;;;100,48;2;;;;;;;;;;;201,46;4;;212,46;4;;;157,97;3;;;88,62;2;;;;;;;459,05;9;;97,38;2;;;197,44;4;;;54,95;1;;;151,47;3;;;501,24;10;;;;;;333,37;4;;;50,49;1;;;;;;;383,86;5,000;;151,47;3;;;50,49;1;;;262,45;5;;;100,98;2;;;565,39;11,000;;314,95;5;155,98;5;;;;;100,98;2;;;125,98;2;;;697,89;14,000;;114,97;3;;;125,98;2;;;50,53;1;;;62,99;1;;;354,47;7,000;;62,99;1;;;123,25;2;;;;;;;130,48;2;;;316,72;5,000;;144,48;2;;;203,47;3;;;204,97;3;;;64,49;1;;;617,41;9,000;;7 021,61;139,000;
;Ополаскиватель для рта;;;;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;155,99;1;;;;;;;155,99;1;;;;;;;;;;;;;;;;;;0,00;0;;;;;;155,99;1;;;;;;;;;;;155,99;1;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;189,39;1;;;189,39;1;;;;;;;;;;;;;;;;;;0,00;0;;199,80;2;;;;;;;;;;;;;;;199,80;2;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;224,58;2;;;;;;;;;;;;;;;224,58;2;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;259,80;2;;;;;;;;;;;259,80;2,000;;;;;;;;;;;;689,00;1;129,90;1;;;818,90;2,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;2 004,45;11,000;
;Освежитель воздуха;105,99;1;;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;237,98;2;;;237,98;2;;;475,96;4;;118,99;1;;;;;;;;;;;;;;;118,99;1;;118,99;1;;;118,99;1;;;;;;;;;;;237,98;2;;118,99;1;;;;;;;;;;;118,99;1;;;237,98;2;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;102,99;1;;;102,99;1;;;;;;;;;;;;;;118,12;1;;;118,12;1;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;121,21;1;;;;;;;;;;;121,21;1;;;;;;;;;;126,99;1;;;;;;;126,99;1,000;;126,99;1;;;;;;;;;;;126,99;1;;;253,98;2,000;;;;;;;;;;;;;;152,99;1;;;152,99;1,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;149,71;1;;;;;;;;;;;149,71;1,000;;;;;;;;;;;;;;;;;;0,00;0,000;;2 096,90;17,000;
;Отбеливатель;;;;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;114,90;1;;;;;;;;;114,90;1;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0,000;;69,90;1,000;;;;;;;;;;;;;;;69,90;1;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;95,49;1,000;;;;;;;;;;;;;;;95,49;1,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;280,29;3,000;
;Пакеты (полиэтиленовые);;;;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;18,99;100;;;18,99;100;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;54,99;60;;;;;;;54,99;60,000;;;;;;;;;;;;;;;;;;0,00;0,000;;73,98;160,000;
;Пена для бритья;;;;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;157,47;1;;;;;;;;;;;157,47;1;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;112,99;1;;;;;;;;;;;112,99;1,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;270,46;2,000;
;Платки бумажные;;;;;;;;;;;;;;;;;;;79,99;10;79,99;10;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;76,93;7;;;;;;;76,93;7;;;;79,99;10;;;;;;;;;;;12,56;1;92,55;11;;;;;;;;;;;;;;;;;;0,00;0;;32,97;3;;;;;;;;;;;;;;;32,97;3;;;;;;120,29;10;;;;;;;;;;;120,29;10;;107,49;10;;;110,07;13;;;;;;;;;;;217,56;23;;;;;;32,97;3;125,99;10;;;;;;;;;158,96;13;;;;;;51,96;4;107,49;10;;;;;;;;;159,45;14;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;123,99;10;;;123,99;10;;;;;247,98;20;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;199,98;20;;;;;;;;;;;;;199,98;20,000;;;;;;;;150,49;10;14,43;3;;;;;;;164,92;13,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;1 551,58;144,000;
;Полотенца (для уборки);;;;;;;;;53,99;1;;;;;;;;;;;53,99;1;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;289,98;2;;;;;;;289,98;2;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;144,99;1;;;;;;;;;;;;;;;144,99;1;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;144,99;1;;;;;;;;;;;;;;;144,99;1,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;633,95;5,000;
;Порошок стиральный;;;;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;319,00;3,000;;;319,00;3,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;278,11;3,000;;;278,11;3;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;944,00;4,500;944,00;4,500;;608,99;4,500;;;;;;;;;;;;;;;608,99;4,500;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;2 150,10;15,000;
